Sample_Name,nosZ.006,nosZ.008,nosZ.013,nosZ.014,nosZ.015,nosZ.016,nosZ.018,nosZ.022,nosZ.025,nosZ.027,nosZ.028,nosZ.030,nosZ.033,nosZ.037,nosZ.039,nosZ.044,nosZ.057,nosZ.071,nosZ.077,nosZ.081,nosZ.093,nosZ.096,norB.006,norB.018,norB.020,norB.033,norB.034,norB.036,norB.037,norB.048,norB.051,norB.058,norB.062,norB.065,norB.068,norB.069,norB.072,norB.076,norB.098,norB.104,norB.114,norB.117,norB.121,norB.123,norB.128,norB.141,nirS.004,nirS.005,nirS.016,nirS.023,nirS.026,nirS.036,nirS.041,nirS.042,nirS.045,nirS.050,nirS.052,nirS.053,nirS.055,nirS.057,nirS.059,nirS.065,nirS.067,nirS.070,nirS.071,nirS.073,nirS.074,nirS.075,nirS.081,nirS.085,nirS.090,nirS.093,nirK.001,nirK.005,nirK.006,nirK.011,nirK.018,nirK.021,nirK.025,nirK.027,nirK.030,nirK.032,nirK.034,nirK.036,nirK.038,nirK.042,nirK.044,nirK.047,nirK.048,nirK.070,nirK.073,nirK.088,nirK.100,nirK.103,nirK.105,nirK.119,Internal_ID,Plant,Year,Nitrogen,Days
3097_M_2015_P53_N400_A_20180514_CABBI,21.26377138,15.76317892,21.90887147,21.47518507,18.29439289,15.66992183,19.38272387,20.44608104,21.15469884,15.39376221,20.48801413,20.22564457,20.6149407,21.28697253,18.63373051,20.57730445,17.54818284,18.42455183,18.69034325,21.69040776,22.4137435,20.06998234,18.33244935,22.1276512,18.47015492,19.2088176,18.37912016,20.03585399,21.12238236,20.31341536,19.84458673,20.31125969,19.79719636,20.86297486,18.86048819,18.92234168,18.65069209,20.719166,10.1279142,18.85040564,19.82997584,16.24358078,19.20398793,20.43497116,18.96768478,21.60603884,17.72509476,22.88901835,19.45603425,19.84664284,19.2747582,19.03853526,16.76359897,19.16969579,17.93220132,20.94954151,19.14026245,20.86981267,19.11455418,20.83954362,21.29284659,21.6002844,16.31899077,19.66757727,21.34310302,18.23760934,22.32377893,18.01167165,18.22891257,22.83147857,22.55295154,22.40755543,18.29893426,19.13217714,19.8355275,17.78968007,20.3344138,22.15955803,19.53552677,16.81508642,20.22071232,17.99001756,19.32884938,19.0702342,18.43103478,18.61283628,18.47704766,19.43663222,20.25880824,18.71126895,21.22632455,19.22695694,18.30656097,19.03987918,19.51764723,20.79583097,3097,M,2015,400,5
3105_M_2016_P58_N400_A_20180514_CABBI,20.79233529,15.94572431,22.01724619,21.83561427,17.78322931,15.89156077,19.11106203,19.89114528,20.70732261,14.2644388,20.27459119,19.844654,20.15282119,21.32479544,19.16924937,21.56507568,17.8278783,18.2166313,18.69876789,21.19644876,22.13903131,20.17825757,18.2211885,22.96064441,18.84475879,19.46962928,18.35847192,20.59975851,20.39154718,20.33704169,20.03502259,20.63449123,19.575483,20.75295782,18.65499052,18.96670914,19.2667466,19.98429802,9.879552562,19.17724412,20.175103,16.41114118,18.93215068,20.36160107,18.82871726,22.37816313,17.92399315,21.01534426,19.82099953,18.71494521,19.68553667,18.75195955,17.10831073,19.3561474,18.05603813,21.47289719,19.48070479,20.35359812,19.70960222,19.74801711,21.0122651,21.36672419,16.57104973,19.71977253,21.40669341,18.04846363,40,17.9343183,18.36410851,40,22.36436113,40,18.06058847,19.18180472,20.15913229,17.9916313,20.41905526,21.55582395,19.73793241,17.10356798,20.36982673,18.26115926,18.90972803,19.15574932,18.78950681,18.22844842,19.06348634,20.05730015,19.79882211,18.97319001,20.78009007,19.47501613,18.39260475,18.69160178,20.11238799,20.88332331,3105,M,2016,400,5
3113_M_2017_P13_N400_20180514_BULK_DNA_CABBI,21.35617266,17.30073264,40,21.52628286,19.21300581,17.20049963,20.43760587,21.44887527,22.77156349,11.91123173,21.67697225,21.58492677,22.05040892,21.88853296,19.45285468,21.83417122,18.73790788,20.11076806,20.02561238,21.38955274,21.39064405,20.70404004,20.98799937,40,20.04356252,20.70674793,19.21035224,21.11317786,21.69771532,22.17579261,21.20634962,21.27601019,21.60229409,22.52939014,20.07640766,19.73809202,19.66417201,21.13411341,8.534453086,20.01141225,20.78360101,17.44687755,20.21800835,20.59669056,20.13130235,40,19.12599133,40,20.98790769,15.67952253,20.32460196,20.46071949,18.27079705,20.93702939,18.964954,21.54939478,21.26851276,21.08996966,20.79926038,21.97998226,21.45583072,22.09859397,17.82494805,19.73537581,22.08785804,19.04779633,40,18.96900465,18.96418975,40,40,40,18.98601095,20.05971617,20.5888824,18.51519338,21.88758118,40,19.99655014,18.9107471,21.47066229,19.46812187,21.03585015,20.24691692,19.84513492,19.18805271,19.60140066,22.27442112,21.73774146,19.33084486,21.66666869,20.61382525,19.55761073,18.52541699,20.90114224,22.47196292,3113,M,2017,400,5
4001_C_2018_P3_N300_A_20180530_CABBI,21.32806532,16.31515981,21.77881364,21.39847513,18.31142491,16.01416834,19.33562806,20.57188007,21.20769313,15.92134889,20.5488257,19.6579437,20.8411971,21.19725702,19.34923548,21.31876564,17.99391046,18.49141824,19.33351087,21.29936063,21.85028359,19.61849958,19.42476326,22.55065287,18.91747163,19.8251937,18.53834644,20.56120394,21.12073833,21.43239627,20.56303351,20.19107745,19.49833508,21.11052223,18.82550415,19.30410662,18.94431205,21.11398911,11.89034275,19.30667659,20.33197113,16.75210354,19.02334074,20.69174078,19.09142369,40,17.95748414,22.95076115,20.07166026,20.70263026,19.37218467,19.23996749,17.23173049,19.80352866,18.26985662,21.04953222,18.83805159,20.72937208,20.30735772,20.96052812,20.70977078,21.06513716,16.75975472,20.23809433,21.30394365,18.1586199,22.70899981,18.4479646,18.72659309,40,22.91570463,22.72783193,18.77297369,18.90026916,20.40668288,18.00855155,20.57199981,21.57215102,19.7728813,17.21025271,20.74968969,18.6240655,19.4244674,19.39121779,18.76663012,18.70787626,18.78812641,20.70000536,19.82125917,18.97924428,20.75003491,19.62578659,18.60352009,18.83503658,19.29928757,21.45401962,4001,C,2018,300,21
4009_C_2018_P7_N0_A_20180530_CABBI,20.80892716,15.91186178,22.46411534,22.38477244,18.07468829,15.85192486,19.58714201,20.37994522,20.90688188,16.28599121,19.90275985,20.28298177,20.52963508,21.14242445,18.93790876,20.56038726,17.67082533,17.82462959,18.95403569,21.03168929,21.75786831,19.66574446,18.58882909,22.23298888,18.76320632,19.08873398,18.28830835,20.25161253,21.09050721,20.76601695,18.94075442,20.0088335,20.16513703,21.44681346,18.84412867,18.51061657,18.47629011,20.45874092,11.89890554,19.01119059,19.9775104,16.29950486,18.9061028,20.10239024,18.71644517,21.91961956,17.8694631,21.46073672,20.19409904,21.26731844,18.95563833,19.10614527,17.10688719,19.37576629,18.21022525,20.44391129,19.28559015,20.12870851,19.64329399,20.93011879,21.4914515,21.61087504,16.40563508,19.91830837,20.77785518,18.11099598,22.56924545,18.12509387,18.19322906,21.44498919,40,22.62913274,18.20078565,18.76888841,19.9469424,17.69899053,20.1258307,21.84477383,19.70519459,17.03281789,20.64879523,17.7453739,19.70741371,18.79926228,18.66748287,18.42920509,18.85662739,19.79430574,19.88043739,18.65503909,22.27809039,19.24779008,18.44575734,19.18505114,20.21328061,20.93245893,4009,C,2018,0,21
4017_C_2018_P14_N0_A_20180530_CABBI,21.38546834,15.82927527,22.15869077,21.67665458,18.46368059,15.82765365,19.6679099,19.95583195,21.36416345,15.28793374,20.25442507,20.53083172,21.0480139,20.48091584,19.05432182,21.14644485,17.75942963,18.23993524,18.8133944,19.96567988,21.16505419,19.23068653,18.67502396,21.97017275,18.48895909,19.36775055,18.15671122,20.2149675,20.59700073,20.51589717,19.43812828,19.77990741,20.36796794,20.50211461,18.66634675,18.77834575,18.84471928,20.29058474,10.89973903,19.037765,19.95416656,16.27617384,19.55196165,20.28599795,18.39121908,22.24681185,18.06078277,21.06268257,19.4355313,20.22521272,18.69704105,18.77898645,16.69195043,19.90666153,17.86144368,20.35095206,18.93816094,19.62992382,19.15778936,20.74909901,20.86704388,21.7152849,16.45047174,19.59280971,20.75718549,18.28167684,21.51689972,18.09261307,18.00525903,40,40,40,18.01486862,18.76936928,19.55049181,17.6720629,19.71110075,21.26204897,19.45769527,16.60667395,20.00536501,18.20089229,19.78388983,19.02465071,18.86315347,18.4278095,19.05073207,19.79327831,19.90672893,18.6815732,20.96537316,20.3989722,18.67492679,18.96672579,19.5405557,20.71259208,4017,C,2018,0,21
4025_M_2016_P6_N400_A_20180530_CABBI,20.97378328,16.15301525,22.85186042,21.42274533,18.24635388,15.85230013,19.03027839,20.57178066,22.02321183,17.57209962,19.41094323,20.92837546,20.12451478,20.30745316,18.81659863,21.25814256,17.50113027,18.09371555,18.4667529,20.97834372,21.74548068,19.69251699,17.73075805,21.61900376,18.41343906,18.02573697,17.92624558,19.97585754,20.85781964,20.19234747,19.37121844,20.30677689,19.69623532,20.17677409,18.26952072,17.87871016,18.31233992,20.73936407,12.67617127,18.76096098,19.60648635,15.99093192,18.27022568,20.14112983,18.28185788,22.00739509,17.03878202,22.35421263,19.42353714,21.47697475,18.91563911,18.86431634,16.95526564,18.98077918,17.96797557,20.90035052,18.91565309,19.9782431,19.94180909,19.67954207,20.21143078,21.27243494,16.4962828,19.91359946,20.63194418,17.96090747,21.4882089,17.51764778,18.35182669,40,21.9336993,22.90852586,18.08556088,18.6808554,20.33965846,17.99911888,19.98368561,21.95512543,19.49967132,16.94007443,20.33257845,17.76926091,19.26704474,19.41029436,19.10076693,18.55638785,18.60363335,20.05229473,20.20821655,18.83526894,21.0563972,19.08865577,18.46499789,19.50706615,19.69107597,21.17113819,4025,M,2016,400,21
4033_M_2017_P13_N400_A_20180530_CABBI,21.18405315,15.59278163,22.30515649,21.65659752,18.1862693,15.4388911,19.06665564,20.40534974,20.94849373,17.00989522,20.15366671,20.55249014,20.20721267,19.97983272,18.56192167,20.76748867,17.26717875,17.84632805,18.21380211,20.68471038,21.36336323,19.16298584,18.1077803,22.45912757,18.3257442,18.28816921,17.78460678,19.52119993,20.34912519,20.72775884,19.46580655,19.44127857,19.63200997,20.8393775,18.38436722,18.15904704,18.3905871,20.4286234,12.29127715,18.56171027,18.89742698,15.72349595,18.4152249,19.70195538,18.01667594,21.11135089,17.41944334,20.56317708,19.4750865,20.99921836,18.65075477,18.2979712,16.41741399,18.87191279,17.58763728,19.97766954,18.79468109,20.0221511,19.18511438,19.59182874,20.32303878,21.62341759,16.14453702,19.60104549,20.04923581,17.75523077,21.93199777,17.60272484,17.45292507,22.82070887,21.15379589,40,18.14464177,18.87817975,19.78816508,17.58065591,19.46967769,21.70563864,19.39277338,16.49841372,19.87853537,18.10667555,18.73508199,18.71771937,18.74121667,18.28238714,18.41715599,20.19593947,19.22357644,18.65643446,20.88084655,19.36041188,18.75412938,19.57935223,19.612962,21.50306175,4033,M,2017,400,21
4041_M_2016_P19_N0_A_20180530_CABBI,20.66098961,15.62544237,22.42929488,21.8453152,18.08565063,15.71419947,19.24230342,19.64851197,20.85940714,17.8650532,20.00348975,20.01782957,19.84932551,20.48287366,18.75424923,20.32389014,17.59160317,17.8496906,18.43141439,20.70649994,21.58392442,19.51218684,17.36691429,21.26760865,18.26370572,18.02590388,18.04419463,19.87388149,20.64365663,21.07079211,19.15120003,19.39513401,19.16783908,20.54949276,18.33494221,17.80782796,18.37273894,20.27012498,13.43464199,18.65562353,19.43683437,15.85806749,18.5547011,19.78138999,18.2513929,21.90186018,17.07857593,22.10428744,19.11933545,21.70052178,18.87771485,18.19853989,16.60821522,19.25501214,17.87323383,20.71124453,18.60380725,20.19290578,19.6685345,19.86896036,20.81302592,20.94317947,16.32162754,19.72813799,20.49925919,17.49143332,22.76951799,17.73228037,18.10877396,22.93993202,22.42742667,22.99379658,17.85670625,18.73697669,20.27487206,17.87296996,20.06836744,22.12650885,19.50723427,16.90647414,19.80391874,18.12040168,18.93372932,18.8818485,18.24739257,18.29621998,18.37802974,20.52904976,19.31796847,18.5964702,20.27599196,19.4145805,18.33291698,19.3535069,20.46800053,20.77508212,4041,M,2016,0,21
4049_M_2015_P27_N400_A_20180530_CABBI,20.85473226,15.0923877,22.07025005,21.01788975,17.44431411,15.17216846,18.85358665,19.72761952,21.20376555,15.67142162,19.56167193,19.93179052,19.68421387,20.60172263,18.06178424,19.93158364,16.93973932,17.80712841,18.31095474,20.44903214,20.30251156,19.29994749,17.58237743,20.34939169,17.63901377,18.02483102,17.52416466,19.44286417,20.32346128,20.45175831,19.03470463,19.35412424,18.79640745,20.12546592,17.94012438,18.1616089,17.79979612,19.88008968,11.10664999,18.54151951,18.92579307,15.07403021,18.13442045,19.28777931,17.86689535,20.96350688,17.0174834,19.93875268,18.98550581,20.32633444,18.11478002,17.95242014,16.07105815,18.610024,17.57552615,20.16222887,18.24662732,19.17138474,18.67019214,19.92323742,20.12622153,20.68906479,15.69633321,19.68560631,19.95061522,17.36762408,21.55589651,17.31694273,17.32454881,40,22.66213517,22.61116307,17.44986257,18.53567862,19.24358782,16.9894711,19.33476172,20.97594238,18.7525798,16.2801975,19.78852991,17.539161,18.54252025,18.78011151,17.97439143,17.94693738,18.05234408,19.7381131,19.22233278,18.12771682,20.71559587,18.395966,18.01631921,18.6475313,19.10631015,20.5560923,4049,M,2015,400,21
